"college_id","college_name","dean_id","founding_year","main_building"
1,"Imperial Technical College","1001",1803,"Main Administration Hall"
2,"East Coast School of Business","1002",1812,"Founders Tower"
3,"Midwest Arts Academy","1003",1825,"The Grand Library"
4,"Southern Institute of Science","1004",1838,"Science Center A"
5,"Great Lakes Humanities University","1005",1845,"North Quad Manor"
6,"Northern State University of Law","1006",1851,"Justice Hall"
7,"Pacific Rim School of Design","1007",1860,"Design Workshop"
8,"Central Plains Engineering School","1008",1872,"Engineering Complex"
9,"Mountaineer University","1009",1888,"Summit Hall"
10,"Riverside Management Institute","1010",1895,"Riverfront Building"
11,"Coastal Liberal Arts College","1011",1901,"Seaside Hall"
12,"Urban Research Center","1012",1910,"Metro Tower"
13,"Agricultural Science University","1013",1922,"Farmstead Hall"
14,"Desert Southwest University","1014",1935,"Cactus Commons"
15,"Highland College of Education","1015",1948,"Teacher Prep Center"
16,"Virtual Technologies University","1016",1957,"Cybernetics Building"
17,"Oceanic Studies Institute","1017",1968,"Marine Science Lab"
18,"Global Policy School","1018",1975,"Diplomacy Center"
19,"Fine Arts Conservatory West","1019",1982,"Performing Arts Theatre"
20,"Digital Media and Film School","1020",1990,"Studio Building"
21,"Future Health Systems College","1021",2005,"Biotech Center"
22,"Sustainability Studies Academy","1022",2011,"Eco-Commons"
23,"Entrepreneurship Hub University","1023",2018,"Innovation Wing"
24,"Maritime Logistics School","1024",1805,"Port Authority Hall"
25,"Southern European School of Music","1025",1815,"Harmony Building"
26,"The Colonial History Institute","1026",1828,"Old Capitol House"
27,"Mountain View College of Pharmacy","1027",1840,"Pillars Hall"
28,"Gateway Architecture School","1028",1850,"Design Vault"
29,"Northeast Coast University","1029",1855,"Anchor Building"
30,"Western Plains Geosciences Center","1030",1862,"Earth Sciences Lab"
31,"Industrial Technology Institute","1031",1875,"Foundry Building"
32,"Apollo Space Science University","1032",1890,"Observatory Tower"
33,"Financial District Academy","1033",1898,"The Exchange"
34,"Bay Area Culinary School","1034",1905,"Kitchen Complex"
35,"Piedmont Fine Arts College","1035",1915,"Sculpture Studio"
36,"Transportation and Logistics Hub","1036",1927,"Railroad Depot Hall"
37,"National Defense University","1037",1939,"War College Annex"
38,"International Diplomacy School","1038",1950,"Global Center"
39,"Media Production University","1039",1961,"Television Studio"
40,"Alternative Energy College","1040",1970,"Solar Pavilion"
41,"Space Coast Technical College","1041",1978,"Launch Complex"
